"Producer","mean","sd"
"China (export)",0.101442521910396,0.0106933313574315
"Maaden",0.0336197666371322,0.0103154493393869
"Mosaic",0.115462875905842,0.0104380992931258
"OCP",0.0508294704600333,0.0104837468674662
"PhosAgro/EuroChem",0.0726825972536119,0.0103344378755004
