"Producer","mean","sd"
"China (export)",0.101442882856518,0.0106929737716729
"Maaden",0.0336194105352872,0.0103154017503916
"Mosaic",0.115462819747251,0.0104380474982473
"OCP",0.0508289528708223,0.0104835901617302
"PhosAgro/EuroChem",0.0726827585589707,0.0103341207069715
