"Africa","East Asia","Eastern Europe and Central Asia","Latin America","North America","Oceania","South Asia","Western and Central Europe","Western Asia"
1038,12008,1041,4846,4892,994,7538,1561,734
962,16659,1133,4448,5727,1129,6486,1683,709
1212,15204,988,4599,5036,959,7551,1609,689
1140,14623,979,4631,5719,1028,7236,1980,711
1328,15320,903,4164,4898,923,6043,1568,695
1263,15834,1010,4213,5104,922,6546,1865,557
1281,16507,1002,4593,4673,1245,6840,1806,514
1566,13896,1033,4401,4422,876,6381,1680,730
1409,15915,1125,4655,5227,1153,7138,1425,803
1400,15524,1037,4146,4919,740,7408,1618,553
1272,17476,1056,4473,5302,904,7907,1744,592
1241,15246,1043,5276,4981,1291,7823,1731,569
1160,12225,967,4536,4479,847,8084,1581,892
1252,13849,1034,4775,4695,968,8010,1924,711
996,16137,1045,4781,4950,921,7144,1654,716
1175,14855,1009,3969,5158,1127,7096,1671,623
1398,16280,1100,4657,5253,940,7684,1723,699
1115,15623,1027,3559,5428,1200,7330,1677,642
1214,14970,998,4028,4498,1041,7140,1812,521
1262,15645,1088,4496,5291,891,7556,1696,791
1088,15551,1035,5204,5547,1057,7651,1862,687
1172,14910,1039,5123,5609,1063,7877,1874,741
1240,15709,1081,5481,5077,902,7203,1580,800
1209,16048,1037,4278,5207,962,5751,1781,944
1124,14548,1023,4960,4775,844,6781,1965,633
1366,14493,1025,4523,5326,924,7038,1722,725
1135,13894,1091,4215,4936,1093,6798,1896,763
1265,14676,985,5369,4784,1001,7430,1845,711
1128,14304,1038,4812,5566,1137,6941,1786,656
1227,12970,1030,4249,5020,1210,7968,2018,887
1598,16105,1039,5355,5090,1016,7596,1551,639
1191,13183,1000,4869,5465,1101,7495,1979,719
1397,15686,1118,3884,5071,1247,5869,1815,738
1443,14599,1025,4110,4430,1039,8457,1647,550
1188,15265,1072,5030,5298,1052,8474,1552,700
1410,15270,1007,4459,5532,1152,6548,1588,742
1172,14028,1046,4486,4285,1051,6424,1696,604
1125,13567,1019,4001,4425,792,7631,1381,858
1175,14494,998,3690,5158,1052,8749,1746,674
1373,13722,1166,4263,4991,874,7812,1435,731
1418,16003,1107,4981,4868,1172,7776,1573,790
1157,14403,1100,4853,4693,1044,7593,1614,736
1132,17222,1031,5251,5347,940,6270,1755,768
1377,16555,1044,4788,4746,797,8726,1585,651
1308,16413,1033,5182,4789,958,7889,1984,816
1449,15830,1018,4615,4948,840,6904,1834,577
1077,13447,1064,4273,4550,778,6663,1494,569
1486,11107,1033,4570,5611,962,6254,1575,627
1328,14354,1015,4971,5143,991,7338,1909,592
1245,14210,1196,4846,5092,1066,8803,2004,649
1298,16118,1072,4040,5417,1233,6825,1560,617
1434,14249,1030,4309,4892,1049,7212,1466,767
1133,14297,1096,3658,5026,988,6460,1281,572
1140,16085,1104,5181,4411,1012,8256,1521,948
1272,15563,1122,4699,5082,1187,5811,1995,743
1572,15328,1073,5509,5255,997,8222,2054,529
1437,14332,1001,5693,5531,1123,7209,1527,747
1180,14739,1112,4429,5651,1166,7603,1766,568
1298,15402,998,3919,4770,834,7884,1512,557
1212,13596,969,4163,4738,1094,6716,1651,701
1030,15936,1108,4812,4876,971,7165,1929,833
1519,14257,972,4401,5026,969,7447,1603,615
1295,14543,1146,3805,4856,1003,7186,1422,783
1372,16375,1092,4746,4926,1022,5394,1782,617
1171,13499,1051,4703,5532,996,6864,1545,730
1249,14954,1097,5376,4834,871,7315,1677,613
1246,16150,996,3874,4746,1164,8441,1464,752
1222,16649,1184,4102,4670,1055,8346,1761,590
1415,13813,1000,4191,5507,804,7063,1662,526
1344,15676,1036,4216,4769,1102,6643,1708,699
1256,14812,1076,4922,4644,898,7341,1725,821
1265,13722,1129,4311,4607,893,6726,1430,656
1328,15651,1094,4649,4710,953,6517,1610,731
1379,13096,1048,5168,5420,980,6270,1898,758
1271,15310,993,4167,5328,1055,6087,1756,617
1314,17107,1100,4673,5636,1113,5594,1650,583
1075,15031,1058,5068,5163,1219,8034,1748,691
1355,13022,1138,4276,4841,1040,6199,1785,720
1233,13607,1082,4225,4366,797,7454,1489,623
1082,14521,1005,4212,5535,911,7001,1690,553
1250,15803,983,5073,5270,1033,6498,1605,812
1102,14213,963,4989,5068,859,6626,1842,643
1453,14588,974,4402,5353,1083,7916,1889,621
1169,12090,1102,4210,5097,1264,6724,1889,677
1214,13875,1081,4579,4712,1121,6063,1570,524
1195,13757,1045,4837,5148,922,6632,1824,726
1352,13444,1116,4918,5669,1054,5987,1689,502
1052,16205,1047,5375,5184,912,7796,1719,628
1373,13251,1094,4157,4753,1171,7891,1756,613
1008,14492,1124,5052,5001,1057,5956,1685,590
1137,15146,1069,4782,5227,1005,6824,1817,621
1176,15478,979,4537,5817,774,7307,1484,729
1249,15214,1066,4620,4725,753,6428,1622,719
1532,15310,1000,5184,5483,1054,7997,1475,577
1252,13498,1151,4772,5113,1071,6626,1416,882
1409,15375,1048,4594,4937,1176,7351,1718,591
1197,16446,964,5184,4961,842,7644,1303,640
1067,16234,1129,4990,4888,977,6701,1867,559
1288,14397,1076,4866,4862,895,6239,1597,821
1225,16312,1119,4265,4766,1077,8797,1765,747
1364,15146,1085,4991,4906,928,6360,1514,697
1037,15326,1020,5365,4335,813,8078,1678,641
1190,17397,1099,3882,4368,949,5891,1707,668
1388,13225,1017,4006,4867,1145,6474,1724,597
1288,15104,1031,5145,5033,975,7520,1293,725
1126,15944,1086,4179,4799,987,5152,1631,576
1244,16353,1094,4417,5011,895,5749,1490,649
1202,17048,1067,5159,4229,755,6984,1981,703
1435,14146,1090,4513,5108,665,6958,1579,613
1483,15433,974,4503,4233,866,6736,2081,828
1118,16103,1069,5081,4364,1127,7802,1630,688
1249,14033,1046,5200,5169,1172,7931,1614,825
1149,15184,1053,4083,5481,975,7422,2012,764
1275,14516,1016,3943,5094,1112,5504,1572,791
1228,14840,1021,3902,5580,787,7404,1640,564
1302,16287,1070,4666,5371,1086,5916,1737,756
1264,15098,1119,4724,5363,779,6931,1772,633
1592,14398,996,4742,4657,924,6879,1787,645
1336,14956,1031,4699,4910,741,7321,1691,591
1342,16758,1143,4520,4904,850,8214,2065,819
1146,15014,960,4193,4571,926,7005,1864,548
1084,13493,1048,5742,5141,995,7503,1837,676
1078,16020,1063,4573,4712,1108,7106,1576,667
1107,15486,1086,4425,5170,985,7142,1547,819
1198,13284,1082,4307,5365,1014,6989,1693,691
1382,14078,1015,4844,5454,799,6473,1678,516
1169,17283,1030,4620,5374,1085,6829,1537,586
1067,13972,1031,4515,5352,1022,6429,1878,809
1220,12689,1142,4317,5205,966,8052,1738,730
1329,15788,1002,4411,4849,980,7741,1605,681
1106,16714,971,4131,5149,882,7986,1718,605
1468,13500,1131,4538,4940,846,7504,1615,839
1257,15168,1047,4216,4949,964,6230,1768,542
1010,14170,1062,4365,5348,911,8603,1949,598
