"China (export)","Maaden","Mosaic","OCP","PhosAgro/EuroChem"
0,0,0.137056874231841,0.00549341725148784,0
0,0,0,0,0
0.0251046025648405,0,0.089425382625154,0,0
0,0,0,0.0456079031261807,0.00585175795165334
0,0,0.00606433129774221,0.0260158503699472,0.0801431801555057
0,0,0.020999103551223,0.0223472953481769,0.0382264216179788
0,0,0.0294449359829663,0.0369287879199398,0
0,0.0360756236185939,0,0.120745548055892,0
0.023016084250052,0,0.0431280191959066,0,0
0,0,0.0339052269204783,0.0179065308363682,0.0375662360259542
0,0.0365856721644463,0,0.0142570202016185,0
0,0.0222103504029376,0.0139471167742465,0.0192317193983783,0.00926583166033385
0.00965889927428323,0,0.0316157599530893,0,0.0282893658358043
0,0,0.0455730695500043,0.030373397420561,0.0126534440759462
0.0434259009386758,0.0325915794944395,0.0169267997166292,0.0318024683147226,0.00615675036007317
0.0166980736542214,0.00909271135077659,0.0446086116140189,0.00570741198647783,0
0,0,0.0336903550949526,0.0109905252475084,0.0423881583678891
0,0,0.0239312109906254,0.0171834216561669,0
0,0,0.00991761852079134,0,0.0911494661132501
0.00521597454819452,0,0.00114745574215558,0.0495025147800575,0.011861608940968
0,0,0.0404135107537348,0.0777005203989566,0
0.0633935819106279,0,0.0478117439520749,0.0183024967450544,0.0457884662349891
0,0,0.00110319237516496,0.00147063887821299,0
0,0,0.0490435206792615,0.0658486177414024,0.0196584302387193
0,0.000864692031337672,0.0513589675986476,0,0.0248069719466811
0,0,0.0287383542505161,0.020364970883536,0.0174300938981666
0,0,0.0186015831861089,0.0973286924387025,0.057375686579215
0,0,0,0.0234464434403153,0.00223947917604637
0.0109102319152628,0,0.065850208102919,0.0556655223601909,0.0257644155350488
0,0,0.017215743704651,0.0316048096024368,0.0217130192055741
0,0,0.0239979882970072,0,0
0.0892722523732121,0.0406163542626919,0.0236838260739228,0.0313044503469305,0
0,0,0.0179305226628191,0,0.00491600824168535
0,0.0210432263948295,0.0112292585619368,0.0261432628177101,0.0148852318678856
0,0,0.0813532589513809,0.0351108885288533,0.027318137487874
0,0,0.0354298848995169,0,0
0,0,0.0188456725173738,0,0
0.0107360962755521,0.0307585151898364,0.114013299735906,0.0999177234531126,0.0358737604673269
0,0,0.0169889046319896,0.0123753091238444,0
0,0,0.0105342041299669,0.0348121824664351,0
0,0,0.0151033200296116,0.0374335894032886,0
0,0,0.00678775197865871,0,0
0,0.0271960209954344,0.0618163902433846,0.0782489785638785,0
0,0.0311477885999383,0.0365042360050968,0,0.00213755879804756
0.0241037573641484,0,0.0156468689739405,0.00205189991803247,0
0.0226339085925244,0,0,0.0698632395368544,0
0,0,0.00538655955634836,0,0
0,0,0,0,0
0.0497106160302473,0,0.117862723662594,0.0655646771527766,0.115326035736398
0,0,0,0.0301875518817814,0
0,0,0,0,0
0,0.0150918177748613,0.00367624569338542,0.0356815038325785,0
0,0,0.0135975376403573,0.0120431161922905,0
0,0,0.0201989865111642,0.0249645619671518,0.0124690954301795
0,0,0.0261719033539517,0,0.000383282031080526
0.0375482588886358,0,0.0608804210807296,0.0029180365658225,0
0,0,0,0.0349721068682197,0.00649623604518867
0,0.0110753030683508,0,0.00925477588280416,0
0,0,0.0558229790031978,0.0556399383676279,0
0,0,0,0,0
0.012463049858894,0,0.00767384584765523,0.0584549273799722,0.018822403828671
0.0665199437949669,0.00101689521032505,0,0,0.0123774064998001
0,0,0.0134371731178269,0.0299072576984412,0
0,0,0,0,0.0458322642545091
0.0719540387440977,0.00766508898557119,0.0451476341730717,0.0515690642334129,0
0.0451746765428004,0.0155995820011034,0.0603936167526965,0.0383464479568893,0.0452757574977409
0,0,0,0,0
0,0,0.0167498590380563,0.0252150280243687,0.0141552559826889
0,0.00501132101856852,0.00806247362746373,0.073270232017307,0.0183802184099648
0,0,0.00969521921661939,0,0.0481769397559621
0.0150474703936555,0,0.0190201609425871,0.0760146755159801,0
0,0,0.005908065769638,0.0167705811959544,0.0377857917336861
0,0,0.00378386025679271,0,0
0,0,0.0120067453935019,0,0
0,0,0.00258481380511293,0.0264779641219855,0.042795462896279
0,0.0362747398060452,0.0592319734608258,0.0351955759951132,0.0611522569185587
0,0,0.0262384612156361,0.0262464803870445,0
0,0,0.0428190295135864,0.00914803873234979,0.0197007272151391
0,0,0,0,0
0,0,0.019739288048027,0,0
0.0522629757223488,0,0.0479078921838505,0.0480724031686535,0.0400321332576833
0,0,0.00271254837333969,0.0284353576669561,0.00476024807852658
0,0,0.00316491501646107,0.00682178206842432,0
0,0,0.0333338835983123,0,0
0.129253030393953,0.0331820861252401,0.0872946685453638,0.0868571670905311,0.0423767507305992
0.00304231079219715,0,0.0523999933388719,0.0339135964191804,0.0169890614391377
0.0338059079894055,0,0.0620418204526524,0.0422647451031491,0.0290987099926116
0.0215191791813061,0,0.0388152292324194,0.00588881565759086,0.0120305062115085
0,0,0.0265150356869688,0.0534755527076141,0.0361726932751444
0,0,0.0109554392034858,0.00440894449408728,0
0.0145330713439389,0,0.0193835274496828,0.0501371504345097,0.0595206705460951
0.0238574364451144,0.0112316371950172,0,0.0148114166744864,0.0560995264304188
0.00138702675502991,0,0.0530030070843224,0.0955866960492447,0.00758300986103842
0,0,0,0.000852137899722251,0
0,0.0583463874227811,0.105438414797555,0.00496972439709979,0.0763026578779079
0,0,0.0634036848082843,0,0.00733681329502427
0.0613512205875544,0.0374426048985226,0.0949494132753902,0.0483741683540146,0.0506827303039445
0,0,0.0410815967844652,0.0289613300727006,0.00324968971558634
0,0,0,0,0.0175793488084084
0.0161200611854979,0,0.0382683408500898,0.00403584433829703,0.00164931704159439
0,0.00847341496015722,0.0739399996511399,0.0466989312409569,0.071008243397738
0,0,0.00605798253552017,0,0
0,0,0.00156518281206672,0.049272609294387,0
0,0,0.0312145126783766,0.00778444987729464,0
0,0.0035990195339812,0.0572868253960146,0.0502670197178339,0.0233819251453774
0,0,0.00452904451916384,0,0
0.0681221695162613,0.0357899989005471,0.0906193878787351,0.0316193270230777,0.0416965515272133
0,0,0.051247956267424,0.0800527204607842,0.0408736670208495
0,0,0,0.0868925640796697,0.0225953912568099
0,0,0.0157180465818506,0.0525810773151118,0.00274974397168194
0,0.0308360386373937,0,0.07639508169423,0.0232371755542296
0,0,0.0168353174222416,0,0.0201804126250398
0,0,0,0,0.0276931953606048
0,0,0.101970586723219,0.00798723762918013,0
0,0,0.00614191534957098,0,0.0247280934856302
0,0,0,0,0
0,0,0.0567675528283088,0.000597841394594865,0.0127555326558928
0,0,0.00697402449464379,0.0578571542675188,0
0,0,0.0687282315770765,0.00648103272252307,0.0380678799464663
0,0,0,0,0
0.0501416031606353,0.0847674867691288,0,0.0451092945636157,0.0404876746469251
0,0.0532842908159282,0.060558418799633,0.0681124064549619,0.124005921478363
0,0,0.035337362941633,0.00396663481620101,0
0,0,0.0486381655736312,0.017610843882226,0.0360983768649294
0,0,0,0,0.0157283999521848
0.00741190314053834,0.02920990525611,0.0239993411333509,0.0653401424511668,0.0481022795199437
0,0,0.0118585041706563,0,0
0,0,0.0779780228378797,0.0243248945035558,0
0,0.0295293462377674,0.0633815659990002,0.0935436669260389,0.0175537418455209
0,0,0,0,0.0134160255812522
