"China (export)","Mosaic","OCP","PhosAgro/EuroChem"
0.0291533800793735,0,0.0607554536485928,0.0474093689387454
0.170517643609341,0.0299500964408112,0.0195754317477298,0.0703718125048529
0.0141917978806248,0,0.028448326982753,0.0399619076545901
0.0833100146034506,0.0013774655810494,0.0544635073100058,0.0324907463333811
0.0491508872105899,0.0151671570132121,0.0691355633866882,0.108836796411727
0.0640097759096877,0.00173611364065862,0.0559927406460925,0.0172200265633738
0.0256581775093971,0,0,0.0868133425495944
0.103376818232178,0.00765674874408857,0,0.0749095347380352
0.10607991381314,0,0.0562260328878785,0.0725592828011544
0.0531745949997,0.0139083676200535,0.0155174189520771,0.0426641443701984
0.0514284317581647,0.019592630789782,0.0308051077483973,0.0455769229184498
0.0183307239059061,0.00869681220204043,0.0243210249709025,0.0636305840289519
0.0535664772943063,0.0312480846613059,0.0817936529185979,0
0.0775357882756279,0,0,0.0326979587696096
0.0559393790423121,0,0.0110179590609283,0.105478860054877
0.146346719883035,0.0941179248065646,0.0710520065677408,0.0794820363892361
0.0755511252861886,0,0.071744650691278,0.0488890127194642
0.0516018086931913,0,0.029406378827461,0.116620127330334
0.133725226369574,0.0866703374272594,0.0428577029724136,0.0749082961734782
0.0920540040709889,0,0.0369325637737114,0.042608376703273
0.0332965479509792,0,0.0222923402124778,0.027849192061194
0.143711875900898,0,0.00186541506023977,0.0172639089179361
0.0851931082161694,0,0.00670932871388714,0.100870187923856
0.0510122632513894,0,0.046800090989561,0.0377886401239874
0.137977439433972,0.0157175599795593,0.0738545229220258,0.0404424137853827
0.084380350470906,0,0,0
0.0837095705428765,0.00574050102857113,0.0611795109514892,0.0703848221079745
0.105858793440775,0.0206153205443614,0.0401626592175142,0.029728154746006
0.0627559356067446,0,0.064222782136821,0.0251016789285253
0.105585417975097,0.00401417286258435,0.0213206944750206,0.0536719146651252
0.0710053802936431,0,0.05214947739958,0.0341496178837175
0.119732798615218,0,0.0285795748658048,0.0982192346923627
0.164037071281521,0,0.103841193496029,0.00432453980726367
0.124278214681753,0.0352411949689453,0.0449550243427559,0.0372372642027553
0.09370739185316,0,0.027605935527929,0.0425663163875483
0.0781503576614756,0,0.00555234524115846,0.0164865109799305
0.105641876033314,0,0.113535873277108,0.0232194636120659
0,0.0333310308846661,0.0706743078010588,0.0763404601861493
0.0360805383029102,0,0.0202736984887262,0.0465020676535467
0.100784992210812,0,0,0.0462354125817255
0.110498695474996,0,0.0166122306531606,0.0510270732005751
0.132406667807641,0,0.0884275193162757,0.115690929297365
0.0439250099655381,0.00424615148648082,0.0783612447943188,0.0761822834474484
0.122301039920851,0.00307498747742186,0.0323845203310544,0.008480543098468
0.0905618818282159,0,0.0223646122532282,0.0456934911790659
0.107024351970535,0.102956105120789,0.0557001699390636,0.0613698713376179
0.078145357746263,0.0309333211581916,0.0411589389030079,0.106570696523817
0.0754747994262094,0.0437060687934711,0.0348388581096179,0.0486719647906772
0.0989699187319398,0.0877865002509965,0.0226451015095715,0.180225061376896
0.0818488647000443,0.0612562217968803,0.0304553682808203,0.116466210775616
0.101579249525703,0.0226954817770598,0.086793884970424,0.0653906572790563
0.0751396849995678,0.0186362544020173,0.0516745204686706,0.0620499895020311
0.104874598342949,0,0.0633232768826669,0.0556935577835713
0.0453112510269122,0,0.0199150877989505,0.0518585368799517
0.0841497694930863,0,0.0734135242170172,0.0555865097074163
0.110190079952681,0,0.0297333598344141,0.0536703742069888
0.0913838067489071,0.0152922036003654,0.000648869593891294,0.0434166015007048
0.120919508288583,0.00325989555030165,0.0427650209191398,0.116807576025979
0.0395422844049956,0,0.0511714677500668,0.0285798555415619
0.0995074417262471,0.027130203400743,0.0197762931619609,0.0227568244374088
0.00129648190470041,0.00435894478121773,0.0184806862762289,0.0263368034716698
0.0855318612329474,0.00491723587725525,0.0459884520411873,0
0.065948418315988,0,0.03554815222938,0.0140432614522509
0.103184673763101,0.0766285975407453,0.078684679569729,0
0.12806891125741,0,0.0536892149339619,0.0417473495576722
0.0991873366278422,0.0158698031641326,0.0307532720933279,0.0785822156521134
0.097183243513458,0.0401532317751784,0.0226128498393252,0.0312097098585178
0.0393425898049201,0,0,0.0536462255730995
0.0653225764524285,0.0507058289187978,0.00530654797966212,0.00172287428394563
0.0703912202193701,0.015520888821754,0.106051195181452,0.0231699111960551
0.0945932795930423,0.0319435401293616,0.121517299046906,0.12110672544073
0.141158488309203,0,0.0343893428143676,0.0636883309509063
0.0768259524644079,0.0154876457408704,0.0344551312338449,0.0399714160699749
0.0666475789409239,0,0.0270222097197452,0.0270204324420579
0.0466672062833448,0.00172094308279565,0.0955639606143937,0.0318089539753643
0.0562888356278435,0.0656876728166511,0.0240358369097151,0.0344411216972066
0.0880742530387699,0,0.0171091059316108,0.0624011901950954
0.024273334009851,0,0.0183375300386053,0.0858707646063226
0.135204204688692,0.0508333867825803,0.0936034136310372,0.0984656984862549
0.114077782135353,0,0.044348965189117,0.0370262909721868
0.0850653369654158,0,0.030357670314363,0.0224830451356597
0.146279689762926,0,0.00769074407213374,0.0227377627775492
0.0905686705276428,0.0193623769944666,0.05155036780737,0.0658700949966778
0.120692686651882,0,0.0313563760811858,0.089322552604067
