"Year","Africa","East Asia","Eastern Europe and Central Asia","Latin America","North America","Oceania","South Asia","Western and Central Europe","Western Asia"
2013,0.652459477887999,0.905580410068361,0.667361675994045,0.298321966122364,0.367942628553186,0.486445396563882,0.540445681279003,0.305367749010157,0.806746165170662
2014,0.692194413605473,0.913137377595326,0.314775295920541,0.2885247715095,0.44029901468479,0.438334927351843,0.498150519989455,0.296928011086694,0.732290018641354
2015,0.727950001106155,0.919662912411495,0.507654695864704,0.422722798737393,0.386178497212475,0.445790617585797,0.390137012712435,0.197426891750388,0.749372840690329
2016,0.676784146947844,0.9330778327135,0.273023633952698,0.37426468759738,0.361275953419753,0.162956956664515,0.536083897233622,0.257631045672643,0.738131070516455
2017,0.683568868448713,0.920488473011422,0.239664215061821,0.307550293005304,0.367514848538558,0.374948950868172,0.550374590587522,0.289524647591615,0.697799481596756
