"Year","Africa","East Asia","Eastern Europe and Central Asia","Latin America","North America","Oceania","South Asia","Western and Central Europe","Western Asia"
2013,0.347922960742756,0.788572882575476,0.467178410472485,0.102095787202222,0.308560125713629,0.242726519455526,0.249022310738255,0.238267325669299,0.597624209982083
2014,0.404526831417508,0.805470206038666,0.482148215092347,0.0604768135930467,0.264701264262265,0.150933818269476,0.22753639324666,0.20267387370996,0.468904128632054
2015,0.459746530255055,0.820248653228652,0.400095494866667,0.127935197281251,0.248107884802086,0.188761948816106,0.174105946211494,0.282953984375768,0.506482110172868
2016,0.39940856994689,0.848547292805398,0.523275364945395,0.0774073009219323,0.228028189678834,0.191873415583394,0.259844609661229,0.235730930344805,0.486028149704467
2017,0.395018660660897,0.822158607217163,0.561680997995258,0.0430476032966876,0.190021696366896,0.161677334070556,0.272123606769956,0.204307486428967,0.434310641982202
