"Area Unit","Area Group","Wheat","Rice","Maize","Other Cereals","Soybean","Oil Palm","Other Oilseeds","Fibre Crops","Sugar Crops","Roots and Tubers","Fruits","Vegetables"
"Pakistan",NA,448499.99999862,116999.99999964,38999.99999988,5084.74576298435,0,NA,9749.99999997,175499.99999946,43874.999999865,9749.99999997,38999.99999988,19499.99999994
"Philippines",NA,NA,71442,19845,0,0,1984.5,0,0,13230,2910.6,14553,2646
"Poland","EU-28",42304.7211498826,NA,22758.1435990633,42103.0977493764,NA,NA,19598.5513774379,0.962382527929504,7445.35761049847,12162.4639378983,12231.6073469477,10387.8210716784
"Portugal","EU-28",359.409340989253,897.0009322227,4568.50937966915,452.016219518181,NA,NA,2921.54686805878,NA,10.3079058391496,909.960045040174,5244.79497986207,4170.89501740683
"Rest of Africa",NA,72426.8999876174,113017.800004719,101875.200006624,49345.7999963717,46958.1000112046,23876.9999997644,42182.7000072128,43774.4999973242,56508.8999855306,23081.1000013429,76406.3999965535,128935.800006806
"Rest of East Asia",NA,23405.1999959985,36522.4000015249,32921.6000021405,15946.3999988275,15174.8000036208,7715.99999992386,13631.6000023309,14145.9999991353,18261.1999953241,7458.80000043398,24691.1999988862,41666.4000021993
"Rest of Eastern Europe and Central Asia",NA,6497.39999888916,10138.8000004233,9139.20000059422,4426.79999967451,4212.60000100516,NA,3784.20000064706,3926.99999975996,5069.39999870195,2070.60000012047,6854.39999969081,11566.8000006105
"Rest of Latin America",NA,124142.199978776,193716.400008088,174617.600011353,84580.399993781,80487.8000192051,40925.9999995962,72302.600012363,75030.9999954136,96858.199975199,39561.8000023018,130963.199994093,221000.400011665
"Rest of North America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rest of Oceania",NA,NA,326.600000013636,294.400000019142,142.599999989515,NA,68.9999999993191,121.900000020844,126.499999992268,163.299999958186,66.7000000038808,220.79999999004,372.600000019667
"Rest of South Asia",NA,10956.3999981268,17096.8000007138,15411.200001002,7464.79999945113,7103.60000169498,NA,6381.20000109112,6621.99999959522,8548.39999781114,3491.60000020315,11558.3999994786,19504.8000010295
"Rest of Western and Central Europe",NA,9664.19999834774,15080.4000006296,13593.6000008838,6584.39999951586,6265.80000149507,NA,5628.60000096243,5840.99999964296,7540.19999806929,3079.80000017919,10195.1999995401,17204.4000009081
"Rest of Western Asia",NA,16334.4999972073,25489.0000010642,22976.0000014939,11128.9999991817,10590.500002527,NA,9513.50000162671,9872.49999939653,12744.4999967367,5205.50000030287,17231.9999992227,29079.0000015349
"Romania","EU-28",27593.3052742683,242.094076679964,61059.2219902683,6514.59440169193,1105.6046086602,NA,19204.0755186416,28.8085162332542,771.958654321791,5566.74600517866,5925.53149633352,6750.44886357621
"Russia",NA,189665,5419,54190,70447,14631.3,NA,59609,541.9,62318.5,14631.3,1083.8,5419
"Slovakia","EU-28",7539.34161298089,NA,9239.50775230602,2181.45306389604,457.217409703854,NA,3858.44544797695,0.908417152531588,855.662713475491,282.846196081137,271.221292547307,195.492336706481
"Slovenia","EU-28",630.259644104735,NA,1785.56371423759,343.45602865739,5.6998916697483,NA,125.070668605072,NA,NA,169.470136777449,605.791072118879,130.827297676918
"South Africa",NA,12066.4848758577,0,128846.572572802,4885.71080637868,11248.6320315543,NA,17153.2078962551,528.000000021886,24209.125870019,12302.1428070592,12286.1659976077,13314.0073664379
"Spain","EU-28",23542.7415559432,4616.30983217846,24325.7418537249,22508.1028469821,14.4404521269914,NA,33199.5269429252,2034.85442167076,2055.27057680132,4079.11961860712,50907.4342084399,25070.9478029358
"Sweden","EU-28",11228.222260757,NA,NA,7143.65586395521,NA,NA,1966.45694089297,NA,1134.9459698238,1300.36773795726,126.619488810257,657.853906160521
"Thailand",NA,0,306211.8,43834,1878.6,1878.6,43834,3131,1252.4,62620,30683.8,55731.8,43834
"Turkey",NA,245186,4561.6,39914,68424,1710.6,NA,31361,15395.4,16934.94,10263.6,45616,37063
"UK","EU-28",60412.1176503797,NA,NA,20888.5704440665,NA,NA,14725.3210403196,134.796513514761,5138.77394176614,9349.80379402184,1832.32499751984,4954.2502204079
"Ukraine",NA,40641,427.8,47058,21390,12834,NA,53475,0,12834,6417,2139,4278
"USA",NA,543733.903516816,46570.2168833965,1974105.32767675,137567.946375168,720114.524419924,NA,25968.4351642666,86299.525707204,56164.1568393933,67036.5771167317,25627.9976716741,68744.3165456792
"Uzbekistan",NA,37312,1749,1399.2,2098.8,NA,NA,1049.4,46640,NA,3381.4,6996,8162
"Vietnam",NA,NA,438272,51360,0,5136,NA,20544,479.36,18832,6848,30131.2,43827.2
