"simulation","iteration","South Asia","North America","Oceania","Western Asia","Latin America","Eastern Europe and Central Asia","Western and Central Europe","East Asia","Africa"
68,1566,0.912872,0.935541,0.949176,0.998282,0.907191,0.962006,0.971512,0.936816,0.984703
69,4587,0.908604,0.940489,0.990702,0.998741,0.921036,0.992631,0.976876,0.912864,0.998473
70,3532,0.874077,0.942094,1,1,0.922792,0.98268,0.97165,0.941347,1
71,4303,0.884407,0.937211,0.978909,1,0.914304,0.993161,0.985627,0.926438,1
72,2275,0.906347,0.931539,0.966499,1,0.910302,0.985002,0.977675,0.945051,0.990682
73,3113,0.902685,0.950118,0.997495,1,0.957862,1,0.977878,0.842496,1
74,4853,0.891465,0.945471,0.990513,1,0.920695,1,0.980531,0.935682,0.989936
75,7839,0.886477,0.923981,0.973911,0.958561,0.910402,0.985803,0.973039,0.96722,0.98614
76,2229,0.912628,0.953652,0.97941,0.98857,0.916073,0.995172,0.985621,0.934523,1
77,3595,0.897118,0.923493,1,0.996001,0.917671,0.984857,0.986798,0.947604,0.992561
78,1773,0.913258,0.913544,0.968219,0.988568,0.892852,0.99417,0.983566,0.968076,0.969448
79,5512,0.886776,0.929452,0.980052,0.997964,0.914264,0.979446,0.975127,0.983574,0.983326
80,1954,0.893564,0.916819,0.972569,0.992334,0.898341,0.984497,0.967134,0.992992,0.9873
81,3735,0.886382,0.935411,0.980099,0.990876,0.93169,1,0.995891,0.908402,0.999612
82,4000,0.879898,0.931484,0.998381,1,0.927725,1,0.980381,0.930908,0.977609
83,3084,0.913247,0.927359,0.972239,0.970302,0.910326,0.986553,0.980481,0.95298,0.989937
84,4535,0.893107,0.949715,0.98749,0.998801,0.926303,0.973045,0.994113,0.931727,0.972282
85,3826,0.86672,0.951898,0.991716,0.976577,0.925962,0.999886,0.970979,0.917421,0.995087
86,5624,0.886586,0.927674,0.952963,0.994549,0.906701,0.982956,0.985917,0.926484,0.9816
87,5210,0.869776,0.954314,1,1,0.938196,1,0.995181,0.913856,0.984018
88,4387,0.896175,0.933484,0.978677,1,0.919778,1,0.978114,0.950783,1
89,7833,0.898311,0.951469,0.990643,1,0.927358,1,0.98707,0.938282,0.985297
90,4151,0.928353,0.927362,0.965007,0.982489,0.904257,0.989423,0.983509,0.978847,0.982401
91,3010,0.900536,0.93722,0.978538,0.973128,0.895824,1,0.967458,0.936884,0.994046
92,2770,0.875591,0.94581,0.953013,0.999093,0.902672,0.990185,0.979407,0.973909,0.980095
93,5892,0.88726,0.929679,0.996498,1,0.945183,1,0.964416,0.896156,1
94,5002,0.895176,0.920877,0.972626,1,0.934764,1,0.990787,0.917558,0.996814
95,2588,0.905818,0.932427,0.937902,0.988256,0.905648,0.992653,0.971008,0.970724,0.98349
96,3372,0.90416,0.930554,0.993992,0.987393,0.917277,0.995789,0.975269,0.956949,0.98691
97,3325,0.907541,0.934116,0.989917,1,0.936243,1,0.995193,0.907348,0.989227
98,2246,0.918298,0.928126,0.965305,0.993682,0.907147,0.988903,0.9811,0.940735,0.998488
99,2527,0.911552,0.922057,0.991237,0.99986,0.920091,0.989439,0.988203,0.962587,1
100,2025,0.898312,0.94913,0.967419,1,0.915499,1,0.985298,0.934863,0.997387
101,4475,0.851407,0.923668,1,1,0.944162,1,0.98488,0.911643,1
102,4280,0.89805,0.931531,0.976609,1,0.900693,0.984396,0.972431,0.965467,0.983402
103,1955,0.916121,0.94113,0.990183,1,0.914661,0.987437,0.97727,0.929648,0.983405
104,2056,0.906473,0.924125,0.942755,1,0.922368,0.996919,0.976503,0.931899,0.989922
105,4229,0.874671,0.972486,0.965219,1,0.918852,1,0.982043,0.909479,0.995234
106,6932,0.877684,0.933882,1,1,0.927143,0.990733,0.9669,0.947035,1
107,3950,0.897651,0.942134,0.995105,1,0.938908,1,0.992473,0.858206,1
108,4441,0.892108,0.937124,1,1,0.955244,0.97744,0.986578,0.889875,1
109,3595,0.888592,0.939404,0.968396,0.994718,0.914163,0.99892,0.965665,0.955671,0.997209
110,6008,0.881351,0.937497,0.992025,1,0.932647,0.996821,0.968236,0.931677,1
111,6752,0.90766,0.953635,0.999666,0.985537,0.91389,0.995939,0.969183,0.932386,0.974968
112,5220,0.885494,0.941437,0.973636,0.988547,0.922393,0.981929,0.984036,0.966072,0.991491
113,3574,0.903329,0.918937,0.980882,0.988983,0.891286,0.971377,0.968974,0.929225,0.946264
114,3553,0.890058,0.932839,0.968383,0.989452,0.90135,0.97408,0.979546,0.983986,0.990351
115,2339,0.88734,0.942389,0.988954,1,0.921502,0.994387,0.982932,0.940928,0.978037
116,6719,0.866907,0.95268,0.996952,1,0.923203,1,0.962072,0.943372,1
117,1806,0.903361,0.937974,0.969613,0.982151,0.90781,0.980817,0.959743,0.941477,1
118,388,0.884833,0.928049,0.987397,1,0.929842,0.985092,0.989416,0.917608,0.997013
119,3100,0.880782,0.931344,0.984102,1,0.935268,0.995638,0.983546,0.916267,1
120,2853,0.907985,0.948315,0.988672,0.987837,0.916697,0.978819,0.974505,0.939269,0.98998
121,3617,0.904723,0.948984,0.948642,1,0.931741,1,0.993872,0.905749,0.998518
122,2123,0.913068,0.918664,0.945444,0.990302,0.899531,0.985086,0.980428,0.989979,0.970554
123,4134,0.883978,0.95096,0.984668,0.963655,0.930055,1,0.985755,0.923096,1
124,2109,0.889388,0.954158,1,1,0.931358,0.97387,0.998321,0.933904,1
125,1876,0.885204,0.918283,1,1,0.959085,1,1,0.862592,1
126,4619,0.884801,0.935156,0.974889,0.989908,0.908985,0.981829,0.988795,0.964876,0.982491
127,1363,0.904393,0.920247,0.974011,1,0.906814,0.98814,0.975251,0.940155,0.996127
128,2466,0.89007,0.943641,0.995459,1,0.930191,1,0.993332,0.899325,1
129,4757,0.87768,0.955185,0.990634,1,0.919975,0.977155,0.984345,0.904638,0.991164
130,5902,0.877895,0.929911,0.999835,0.976316,0.9254,1,0.996837,0.938604,0.974858
131,3516,0.890532,0.925778,0.969389,0.999041,0.914695,0.999227,0.96534,0.977941,1
132,5419,0.857764,0.933482,0.995571,1,0.939064,0.983384,0.997065,0.932748,0.987577
133,4024,0.903338,0.918639,0.987535,1,0.919369,0.985934,0.97288,0.953704,0.990763
134,3786,0.879941,0.944312,0.999003,1,0.92275,0.980851,0.974818,0.913543,1
135,4691,0.895768,0.941294,0.996508,0.98086,0.929899,0.986978,1,0.923677,1
136,6316,0.892099,0.923957,0.985749,1,0.933146,0.995846,0.997386,0.962061,0.980687
137,1796,0.920653,0.928963,0.98188,1,0.932887,1,0.978071,0.926597,1
138,2659,0.923957,0.917137,0.980126,0.984985,0.90101,0.990107,0.960076,0.982936,0.97837
139,4391,0.891099,0.93254,0.95548,0.996228,0.914538,1,0.942082,0.951569,0.996449
140,4514,0.857999,0.936981,0.984928,0.987965,0.931214,0.999777,0.98802,0.91174,0.99635
141,1624,0.902278,0.931613,0.983094,0.992258,0.915918,0.999895,0.95684,0.940777,0.9995
142,4467,0.906813,0.929355,0.986091,0.990182,0.918098,0.984963,0.980844,0.977402,0.978163
143,6110,0.875891,0.921721,0.979302,1,0.929119,0.996274,0.990399,0.927487,0.999701
144,1673,0.896286,0.915325,0.983755,1,0.917719,0.981275,0.976031,0.940605,0.990823
145,3176,0.896242,0.936391,0.995273,1,0.913107,0.988796,0.974556,0.96341,0.966824
146,7502,0.863649,0.945503,0.982391,0.991264,0.942765,1,0.988498,0.909903,1
147,3450,0.880244,0.923796,0.985319,0.974798,0.914009,0.988745,0.989017,0.976022,0.990458
148,2343,0.913598,0.927696,0.987634,0.996672,0.919334,0.985983,1,0.936653,0.995075
149,4163,0.951345,0.913391,0.9631,0.979956,0.897144,0.986027,0.981092,0.967785,0.95481
150,2601,0.905802,0.944738,0.989312,0.986346,0.908063,0.991514,0.982911,0.957247,0.969374
151,3748,0.897082,0.950849,0.990715,0.994251,0.943966,1,0.988988,0.902642,1
152,1740,0.910867,0.924066,0.971528,1,0.913144,0.982335,0.984698,0.953978,0.992421
153,2128,0.913426,0.944959,0.982613,0.997068,0.919985,0.98534,0.977392,0.924151,0.995113
154,4220,0.892904,0.93275,0.975699,0.995622,0.932528,0.995622,1,0.894511,1
155,4797,0.868018,0.925464,1,0.98594,0.929641,0.994029,0.983852,0.915022,0.998647
156,1872,0.920226,0.946133,0.98388,0.971212,0.904905,0.983081,0.95084,0.935462,0.985107
157,2291,0.91795,0.948984,1,1,0.947807,1,1,0.843806,0.984291
158,4498,0.914092,0.937231,0.985765,1,0.91992,0.999297,0.957646,0.932515,1
159,6008,0.892344,0.927048,0.991556,1,0.930059,1,0.956882,0.915395,1
160,2840,0.871542,0.937238,0.997178,1,0.933577,1,0.964539,0.905075,1
161,4089,0.871534,0.939493,0.989178,0.986836,0.918734,0.996431,0.985609,0.929814,1
162,3063,0.909422,0.940243,0.943418,0.987894,0.911358,1,0.972741,0.963139,0.99094
163,5216,0.932227,0.894752,0.9761,0.952278,0.907391,0.991496,0.965567,0.941824,0.987751
164,8673,0.894439,0.941621,0.976369,0.979004,0.915382,0.93032,0.97384,0.962222,0.992624
165,4176,0.866677,0.934788,0.992166,1,0.924862,0.997578,0.969113,0.920496,0.980655
166,2174,0.892196,0.946965,1,0.997251,0.943469,1,0.980569,0.866919,0.996103
167,7183,0.881839,0.942404,0.963981,1,0.920884,0.986443,0.973371,0.940863,0.987442
168,6077,0.875632,0.924306,0.965003,0.998582,0.908962,0.972675,0.979263,0.997165,0.993662
169,5253,0.886557,0.94277,0.999532,1,0.926077,1,0.988559,0.917881,0.981712
170,6963,0.87498,0.921351,0.977751,0.990393,0.916812,1,0.990736,0.940486,0.996094
171,4150,0.869874,0.929253,0.980309,1,0.916591,0.989342,0.980435,0.967849,0.985257
172,5259,0.869204,0.937678,1,0.988218,0.935931,0.963613,0.979617,0.94667,0.995152
173,3693,0.877435,0.948101,0.986684,0.99682,0.910993,1,0.951735,0.935353,0.99912
174,4206,0.899844,0.945197,0.996917,0.982625,0.933729,0.975566,0.989771,0.931799,0.993402
175,2538,0.905761,0.94202,0.969585,0.987401,0.909182,1,0.97101,0.980331,0.96682
176,6904,0.851649,0.937564,0.978807,0.988372,0.898385,0.998271,0.970163,0.961351,0.991746
