"simulation","iteration","China (export)","Maaden","Mosaic","OCP","PhosAgro/EuroChem"
106,6932,0.825561,0.85328,0.874178,0.83529,0.905402
107,3950,0.828608,0.826344,0.793407,0.839955,0.849377
108,4441,0.825545,0.874299,0.847741,0.876687,0.878297
109,3595,0.841622,0.864282,0.853297,0.887992,0.8837
110,6008,0.826526,0.856673,0.84719,0.876259,0.909451
111,6752,0.849085,0.81888,0.889915,0.892196,0.896423
112,5220,0.825419,0.852431,0.860265,0.913236,0.8641
113,3574,0.869063,0.843977,0.851754,0.859342,0.876273
114,3553,0.83886,0.857517,0.851614,0.873146,0.881846
115,2339,0.849667,0.881702,0.877114,0.860302,0.845003
116,6719,0.793489,0.833384,0.833606,0.894861,0.85793
117,1806,0.87859,0.872501,0.874503,0.865912,0.89199
118,388,0.862756,0.86102,0.85607,0.859797,0.858033
119,3100,0.821788,0.849046,0.862894,0.863743,0.869247
120,2853,0.872916,0.872192,0.869353,0.892065,0.901639
121,3617,0.856756,0.890159,0.872089,0.857241,0.904552
122,2123,0.873747,0.889774,0.855757,0.870847,0.880076
123,4134,0.823248,0.853613,0.87411,0.866335,0.875877
124,2109,0.852563,0.854756,0.873358,0.857708,0.880236
125,1876,0.819411,0.848403,0.836538,0.819718,0.823804
126,4619,0.815904,0.872987,0.856935,0.87455,0.879265
127,1363,0.878041,0.867905,0.865939,0.884999,0.877799
128,2466,0.837247,0.859118,0.847277,0.880126,0.851387
129,4757,0.838224,0.814662,0.858868,0.867969,0.859239
130,5902,0.833526,0.888981,0.870111,0.892419,0.807944
131,3516,0.833387,0.871297,0.851556,0.883738,0.86461
132,5419,0.802909,0.811034,0.816879,0.902005,0.847988
133,4024,0.861563,0.879222,0.842219,0.899043,0.884079
134,3786,0.835427,0.852478,0.842851,0.877423,0.866642
135,4691,0.830629,0.889939,0.872532,0.886788,0.894586
136,6316,0.809178,0.892071,0.869456,0.902388,0.867063
137,1796,0.878758,0.87746,0.869237,0.894916,0.889694
138,2659,0.886375,0.895127,0.853154,0.880345,0.872208
139,4391,0.827245,0.888907,0.86214,0.879338,0.888824
140,4514,0.792667,0.840948,0.830863,0.858695,0.82543
141,1624,0.85867,0.876182,0.877656,0.881238,0.874207
142,4467,0.841981,0.895669,0.858711,0.891663,0.902666
143,6110,0.802725,0.862726,0.865555,0.887097,0.84842
144,1673,0.886397,0.867415,0.863596,0.884231,0.866161
145,3176,0.859915,0.880573,0.84588,0.880019,0.891165
146,7502,0.802525,0.815944,0.829938,0.859651,0.889227
147,3450,0.823179,0.855314,0.850094,0.875051,0.858685
148,2343,0.867082,0.855148,0.878555,0.893654,0.897064
149,4163,0.87807,0.888661,0.826754,0.870807,0.879872
150,2601,0.855238,0.893734,0.874148,0.892706,0.883603
151,3748,0.844746,0.876299,0.867284,0.905827,0.872385
152,1740,0.876055,0.896718,0.872079,0.890234,0.891214
153,2128,0.872402,0.903035,0.870833,0.882922,0.894676
154,4220,0.848375,0.842694,0.873285,0.846657,0.892737
155,4797,0.805571,0.846369,0.839839,0.877607,0.848251
156,1872,0.887871,0.903335,0.86867,0.881651,0.886245
157,2291,0.741058,0.844241,0.815893,0.827022,0.832728
158,4498,0.840749,0.896722,0.886266,0.898304,0.908497
159,6008,0.840473,0.814579,0.861216,0.881312,0.880664
160,2840,0.830325,0.834069,0.867881,0.85662,0.840217
161,4089,0.82619,0.835042,0.850033,0.888324,0.846349
162,3063,0.877207,0.88015,0.867579,0.889855,0.914378
163,5216,0.888744,0.890227,0.825445,0.858759,0.890175
164,8673,0.852393,0.776996,0.882399,0.897943,0.865486
165,4176,0.810824,0.832561,0.840036,0.874301,0.849843
166,2174,0.818742,0.849624,0.847568,0.846581,0.838947
167,7183,0.826669,0.78283,0.855496,0.876359,0.87987
168,6077,0.808612,0.850058,0.828265,0.879969,0.882471
169,5253,0.810296,0.884385,0.88411,0.87872,0.861696
170,6963,0.798865,0.858195,0.842676,0.842808,0.889628
171,4150,0.838967,0.845209,0.813185,0.865433,0.856324
172,5259,0.803467,0.859403,0.822286,0.864668,0.865346
173,3693,0.85421,0.844217,0.84345,0.845267,0.895037
174,4206,0.852677,0.886417,0.889529,0.91379,0.860284
175,2538,0.866509,0.900944,0.862176,0.88994,0.883669
176,6904,0.798834,0.808064,0.851064,0.863975,0.786397
177,4039,0.809126,0.812458,0.838409,0.846504,0.84489
178,4295,0.83454,0.829509,0.860873,0.884998,0.872653
179,3040,0.840584,0.851181,0.879249,0.865582,0.847186
180,5010,0.844317,0.913102,0.85744,0.88314,0.886051
181,6256,0.804479,0.89401,0.861528,0.880752,0.879775
182,4855,0.837867,0.877781,0.886085,0.908546,0.868142
183,7248,0.800367,0.797039,0.856253,0.872635,0.869223
184,7711,0.821733,0.79147,0.845679,0.894673,0.880548
185,3002,0.844118,0.844281,0.832796,0.873642,0.850754
186,6395,0.818152,0.843711,0.86997,0.912147,0.854565
187,1572,0.866771,0.871142,0.881147,0.89019,0.877958
188,3337,0.820068,0.861928,0.867637,0.859921,0.866733
189,6368,0.81398,0.82449,0.806705,0.849902,0.882805
190,3972,0.872414,0.911945,0.859719,0.899815,0.8996
191,4727,0.841396,0.882605,0.867093,0.88999,0.90056
192,2892,0.859496,0.848834,0.846408,0.881434,0.866773
193,5217,0.81598,0.860204,0.87009,0.897539,0.845007
194,3068,0.850724,0.86613,0.88104,0.896475,0.889297
195,4152,0.884095,0.922571,0.851427,0.910373,0.880038
196,3282,0.84489,0.869797,0.854921,0.878921,0.883738
197,1798,0.858193,0.852291,0.856369,0.879762,0.867207
198,3250,0.855221,0.887582,0.850971,0.891708,0.889861
199,6142,0.817896,0.84743,0.8064,0.8895,0.848826
200,2164,0.84897,0.87229,0.880678,0.882576,0.870137
201,3086,0.852849,0.873524,0.863006,0.871101,0.893735
202,1629,0.891797,0.884884,0.87474,0.898198,0.887661
203,1582,0.855327,0.880328,0.847869,0.871599,0.861046
204,5733,0.816687,0.819987,0.859854,0.886916,0.857891
205,3211,0.852543,0.881266,0.851531,0.90122,0.86492
206,5010,0.815998,0.866461,0.845377,0.862059,0.888593
207,7592,0.831597,0.818488,0.874683,0.907741,0.895513
208,4439,0.82056,0.854454,0.833839,0.90754,0.825729
209,1903,0.895241,0.881452,0.873747,0.867411,0.888067
