"Region","mean","sd","q05","q10","q25","q50","q75","q90","q95","quartile_dispersion"
"China (export)",0.847948726,0.0255222678773758,0.80347765,0.8139532,0.83174825,0.8495525,0.86632925,0.8789815,0.88754655,0.0203647948930482
"Maaden",0.872027257,0.0248920629576827,0.8263122,0.8387916,0.8576845,0.8752305,0.88943575,0.9010262,0.90637715,0.0181734771833822
"Mosaic",0.859645555,0.0180239803682008,0.8245231,0.8379395,0.85102175,0.861886,0.87128575,0.8790844,0.88325545,0.0117656109608767
"OCP",0.884076534,0.0193213243305611,0.8477985,0.859172,0.87506175,0.8872165,0.89667975,0.9049207,0.90960505,0.0122015542335042
"PhosAgro/EuroChem",0.879551954,0.0211849657369362,0.83726765,0.8509205,0.86889125,0.8840675,0.8944415,0.9015232,0.90618605,0.0144897495949078
