"Region","mean","q05","q10","q25","q50","q75","q90","q95","quartile_dispersion"
"Africa",0.666059231932924,0.295868712328916,0.39115140717093,0.441470603071475,0.626691542021687,0.954025476080055,1,1,0.367292234400413
"East Asia",0.669004792514663,0.464014181337491,0.513295906399236,0.58107295376294,0.666692766192656,0.755058878357676,0.835193482230173,0.870346885607328,0.130216136171681
"Eastern Europe and Central Asia",0.738731444310933,0.402989831664974,0.412726222719497,0.47962206293602,0.754839590509168,1,1,1,0.351696524470169
"Latin America",0.12200983301793,0.0588920680813145,0.0693663278244759,0.0882684779040915,0.116850904675354,0.14711398077771,0.183690322087196,0.207117352433712,0.249999525041787
"North America",0.273108369076308,0.16506480666267,0.184333145156323,0.215442319182294,0.267737460637479,0.322190690820375,0.378308148271008,0.402416263431022,0.198552487760286
"Oceania",0.577123300878315,0.233126757825321,0.272069107217037,0.40029559618827,0.49648928472826,0.802066827309567,1,1.00012523437915,0.33415151976597
"South Asia",0.20766439590679,0.120277874517708,0.135974065231473,0.168951320683548,0.2032062897024,0.243059930426783,0.281079151035067,0.311525898857812,0.179870354373866
"Western and Central Europe",0.446913263259628,0.20806781811857,0.22801260339057,0.302317069942734,0.411490581230357,0.530934259257518,0.726491827068628,0.876410692067627,0.274367626312951
"Western Asia",0.79684437523161,0.400108198193884,0.416102092814761,0.544632943255978,0.99843650563256,1,1,1,0.294805998235503
