"Producer","mean","q05","q10","q25","q50","q75","q90","q95","quartile_dispersion"
"China (export)",0.675771330978798,0.401126161942298,0.502904296670275,0.595904592083034,0.699636876062656,0.779330806589566,0.839514670798781,0.864779538771299,0.133378049084235
"Maaden",0.336883575753346,0.00147699774277535,0.00184115841894891,0.00542082237656586,0.36823144126628,0.559009745909801,0.692771248505183,0.741222468840863,0.980791889450553
"Mosaic",0.733967726618161,0.572523874539324,0.63174751238187,0.695179396454018,0.74538464506961,0.791494276799254,0.82678169107825,0.837806437799494,0.064785488623385
"OCP",0.662473062319129,0.327834457892893,0.468128073113838,0.601898438555987,0.709308674873961,0.776355551560354,0.817746997022541,0.836388851696014,0.126578347862893
"PhosAgro/EuroChem",0.78969651381587,0.564834059646212,0.645302984395042,0.753671975399913,0.819927895850531,0.865113172514841,0.896022846359165,0.911115244578798,0.068842487996929
