"Region","mean","q05","q10","q25","q50","q75","q90","q95","quartile_dispersion"
"Africa",0.655839433917082,0.273653427690261,0.350591076962604,0.434460786167456,0.616803539263046,0.94668669942967,1,1,0.37086981557278
"East Asia",0.676583060731843,0.465668614036396,0.510582406448722,0.583091748490153,0.682963172625913,0.759235065263387,0.835151915502332,0.878934419370262,0.131222378163396
"Eastern Europe and Central Asia",0.742659356548544,0.403263363541351,0.411870732066536,0.478947005564837,0.754770320764597,1,1,1,0.352313499046684
"Latin America",0.124439643488097,0.0599423266442113,0.067619335221758,0.0881124680285196,0.115563183033038,0.151422761870398,0.194733671506324,0.219062376118613,0.264304728238076
"North America",0.290585666655729,0.16963446252262,0.192699447978682,0.229501666386617,0.281282237932524,0.348574280839099,0.402650769235357,0.422840667269118,0.205980918292712
"Oceania",0.606587577770668,0.232785674356097,0.275724184523174,0.405394621509436,0.531713079520696,0.867745406614526,1,1.00000929441225,0.363157841943268
"South Asia",0.195008666195698,0.110871364263253,0.127151893172897,0.155536509421025,0.189898003677739,0.228958476504815,0.266521279268296,0.295605232692344,0.190956890912359
"Western and Central Europe",0.464888899966723,0.208951942473394,0.238683712369255,0.31701932008026,0.419032203713967,0.55962780887539,0.769172060350384,0.91617445769246,0.276745888718247
"Western Asia",0.788414804323941,0.399682924294308,0.406508530311988,0.522063871833613,0.997223308119544,1,1,1,0.314005303595192
