"Producer","mean","q05","q10","q25","q50","q75","q90","q95","quartile_dispersion"
"China (export)",0.686601298080443,0.414285255861342,0.507300820125853,0.611235043160146,0.711352923004563,0.793934800897334,0.836656781479037,0.859809419296383,0.13001969726993
"Maaden",0.362676372149237,0.00143262550806194,0.00198777637646043,0.0325055716460034,0.420847305480694,0.562423009469788,0.703353019541454,0.748146660283115,0.890724457765875
"Mosaic",0.720700494155759,0.548803591070213,0.606471864277727,0.682532616431527,0.733408121543446,0.782186533145218,0.816686918499094,0.834837784639144,0.068036194339705
"OCP",0.667886150982115,0.319355676293497,0.448063515204923,0.61003907251145,0.716824517497102,0.776764778686431,0.824260343594912,0.846246582746146,0.120222990461822
"PhosAgro/EuroChem",0.794771664077932,0.564180478046553,0.664770638770461,0.759573369867486,0.825550240369102,0.86766105649494,0.895904876292693,0.912769827618068,0.0664241641378473
