FAOSTAT,Area Unit,Area Group
Somalia,Rest of Africa,NA
South Africa,South Africa,NA
South Sudan,Rest of Africa,NA
Spain,Spain,EU-28
Sri Lanka,Rest of South Asia,NA
Sudan,Rest of Africa,NA
Sudan (former),Rest of Africa,NA
Suriname,Rest of Latin America,NA
Sweden,Sweden,EU-28
Switzerland,Rest of Western and Central Europe,NA
Syrian Arab Republic,Rest of Western Asia,NA
Tajikistan,Rest of Eastern Europe and Central Asia,NA
Thailand,Thailand,NA
Timor-Leste,Rest of East Asia,NA
Togo,Rest of Africa,NA
Tokelau,Rest of Oceania,NA
Tonga,Rest of Oceania,NA
Trinidad and Tobago,Rest of Latin America,NA
Tunisia,Rest of Africa,NA
Turkey,Turkey,NA
Turkmenistan,Rest of Eastern Europe and Central Asia,NA
Tuvalu,Rest of Oceania,NA
Uganda,Rest of Africa,NA
Ukraine,Ukraine,NA
United Arab Emirates,Rest of Western Asia,NA
United Kingdom of Great Britain and Northern Ireland,UK,EU-28
United Republic of Tanzania,Rest of Africa,NA
United States of America,USA,NA
United States Virgin Islands,Rest of Latin America,NA
Uruguay,Rest of Latin America,NA
Uzbekistan,Uzbekistan,NA
Vanuatu,Rest of Oceania,NA
Venezuela (Bolivarian Republic of),Rest of Latin America,NA
Viet Nam,Vietnam,NA
Wallis and Futuna Islands,Rest of Oceania,NA
Western Sahara,Rest of Africa,NA
Yemen,Rest of Western Asia,NA
Zambia,Rest of Africa,NA
Zimbabwe,Rest of Africa,NA
