"China (export)","Maaden","Mosaic","OCP","PhosAgro/EuroChem"
0.150938917382889,0.169069044352825,0.262033731140833,0.126662573895243,0.225861122889768
0.0805148154497489,0.142642874254893,0.0853481056074359,0.149783553269816,0.12620745438455
0.077066115344195,0.124222794344348,0.187344638587504,0.128487011249995,0.160890535578206
0.13005767451307,0.165037371639675,0.136290820825765,0.119071856288383,0.153839065361704
0.14898510416647,0.187264123528138,0.123765054834967,0.126855826550356,0.117148945688574
0.145645414012511,0.0965067394146227,0.0824289081357508,0.0907066746161212,0.0526586740512182
0.133894598187088,0.0807906937331122,0.132337951128565,0.10436868501094,0.109791013200315
0.150047555470224,0.100623486542922,0.136160973367018,0.0348948444970232,0.153320466821973
0.168005434516931,0.175633013601776,0.141040028223881,0.138156928851612,0.0570455719548858
0.164709552462626,0.189745879946645,0.121327038826022,0.129095635033096,0.107003573542402
0.126044277130912,0.14589565605434,0.100334479720053,0.0807447799759158,0.108084099109529
0.166774297508745,0.169934586508451,0.153874519677437,0.120457852951692,0.107961507413415
0.255870842447762,0.176943870259239,0.188394134897639,0.0825867126428945,0.143294268424805
0.259388538076538,0.216897398213248,0.16006429321945,0.177281631335199,0.236312040005786
0.197557049852764,0.165570136709642,0.147787571666117,0.0964739364165597,0.102591455344587
0.18378766054234,0.140270270133091,0.181437805237666,0.164174804594562,0.149908664371315
0.192115507481393,0.157123840854834,0.187778031708494,0.106756586630635,0.112108653270704
0.156560561603388,0.157462613650181,0.112796801755641,0.104580023147319,0.132435142076994
0.169631739394992,0.126078346680338,0.196079781539711,0.0900118324960735,0.0574809033690298
0.188575091858426,0.11325344042038,0.158344998185298,0.129430106189308,0.115791766952658
0.149335405148463,0.16590902095228,0.0799697366808059,0.102905845548488,0.161594162172215
0.182385929434629,0.181689375302986,0.178318096082045,0.102151245576406,0.123564167346751
0.110114228890865,0.14279607741572,0.116938434809234,0.106287106847766,0.13028563338862
0.261151610800232,0.246386152174789,0.282816336357138,0.22087293826655,0.221868815857473
0.237048092539021,0.198701684623234,0.166054504804712,0.247537988717902,0.134561976291964
0.176008168299013,0.139777428971892,0.140871732767318,0.216756840954389,0.13623942463394
0.130354103106,0.174934536277846,0.215411155292301,0.160176927789345,0.12151094488069
0.17442478825228,0.150617042262183,0.14319680595285,0.0983849030291654,0.112800059376927
0.234029537922059,0.127451071080027,0.144573610630547,0.185735209392277,0.188473457153296
0.228046778686661,0.163973588619528,0.160967371338645,0.182407505038792,0.0965293534934324
0.128990462924847,0.170606335458619,0.15096290612639,0.16215700678662,0.192289472264977
0.121724070544891,0.217768525913109,0.184841760671878,0.131234659388398,0.128185677745968
0.146984043204891,0.21370681063819,0.189824068874347,0.21605802695835,0.161424959081251
0.186161373286619,0.149119554400794,0.13223311635556,0.156651599885104,0.162784602472555
0.156176704283772,0.251812306212888,0.09987991681482,0.119018587710174,0.142429330170804
0.241202592587596,0.170318136042932,0.132706455737811,0.148949340008373,0.144905685568277
0.20462700692785,0.105555865813834,0.142986387651324,0.103965517970675,0.0961657569036121
0.199296811520287,0.146585501817352,0.112554279863615,0.0812158458516306,0.161301720444427
0.0513608285161137,0.126361099545226,0.130566865916816,0.10743147483354,0.116620874580796
0.255582289167294,0.156822113263777,0.252666453442342,0.184122745046282,0.141328830588623
0.127686991561879,0.12484551512916,0.162043793605529,0.122040841233039,0.081675873290556
0.19524561152189,0.107214919583254,0.12970171284203,0.0837271694088007,0.121868066618002
0.164796049916552,0.117982158064189,0.16383743571951,0.203345956727211,0.146976040402051
