"China (export)","Maaden","Mosaic","OCP","PhosAgro/EuroChem"
0,0.0147630210791667,0.0698925488769597,0.0534827996367766,0.0452426342517573
0.00981832394444927,0,0,0.0187903495334989,0
0.0335543376504311,0.0485930986991147,0.0562428813837435,0.0338203626616996,0.0411684281769336
0.0524059965957488,0,0.0144326430697104,0.0273184521426435,0.0518697797289289
0,0,0.0101018907881021,0,0
0,0,0.0594614313118748,0,0.0232262474961269
0,0.00272276117197209,0.022771751130656,0.0305899097144728,0
0,0,0.0423723594050671,0.0329703246142097,0
0,0,0,0,0
0,0,0.00753648050838872,0,0
0,0,0.0453950273574983,0.0147349795999442,0.0114486138423476
0,0,0.00568085341813446,0,0.0131167046811362
0,0,0,0,0
0,0,0,0,0
0,0,0.0169948518917981,0.0138462198562473,0
0,0,0.0334598379070934,0.0490865695875018,0
0,0,0,0.0462868341728008,0.0731790055424778
0,0,0.0253102684016104,0,0
0,0,0,0,0
0,0,0,0,0.0118133418327644
0,0,0.028512193739637,0,0
0,0,0.0322063778323096,0.0395313378879923,0.00217476299674151
0,0,0.0129994956544685,0.0361411748820435,0.0125247733190395
0,0.0150144563500161,0,0.0491714385283065,0.0425695115130329
0,0,0,0,0
0,0,0,0.108794047395058,0.0160815919852791
0,0,0.0765242035056938,0,0.00684718719324919
0,0,0,0.0065836142194765,0
0,0.0126578567449264,0.0453252097908394,0.0536201206844239,0.0382022252942082
0,0,0.00245298866547974,0.110010685824922,0.00517879989919218
0,0,0.0190685178518488,0,0
0,0,0.0285974129764648,0.00838877013828936,0
0.00817064675037067,0,0,0,0
0,0.00276677509926171,0,0.0129860188373636,0
0,0,0.00387379013212757,0,0.00393249626248656
0,0,0.048833951004728,0,0
0,0.0203019282852814,0,0,0.0224439387245581
0,0,0.050633990003208,0,0
0,0,0,0.00525789787831575,0.00196553596872079
0,0,0,0.0233395378738012,0.0116540620673213
0,0,0,0.0243672949951226,0.0381358376759698
0,0,0.0114952462944453,0.0584063477919683,0
0,0,0,0.0451169120465185,0.00645787286671543
0,0,0.0386120099271097,0.0144656339141186,0.00522344536815176
0,0,0.10367644311603,0.0522234182134603,0.0339716298465695
0,0.00795548413734109,0.0420977710053532,0.0439975462997556,0.021737061221306
0.0599483651259354,0,0.0289979253084355,0.0767398455156629,0.0273496217497418
0,0.00187254985817995,0.0451916249309145,0.00682871322917828,0
0,0,0.0151973534516042,0.0155775272627412,0.0158605587247377
0,0,0,0,0
0.0080680501205485,0,0.0118881459285456,0.0612692461125702,0.0223260414810539
0,0,0.0755604863824823,0,0.0495373388028374
0,0,0,0,0
0,0,0,0,0
0.0235905274194576,0.0202567389757378,0.00502865471266187,0.0374911088512818,0.0952647895957104
0,0,0.0536969076227029,0.0449791671373163,0.0256530311031075
0,0,0.0323913727612062,0,0
0,0,0,0,0
0,0,0.0307164699361383,0.051160905902083,0
0,0,0,0,0
0,0,0.0231328988344308,0.0540404661580094,0.0167048157079332
0,0,0.0370227366085722,0.00468320939403839,0
0,0,0,0,0
0,0,0,0,0.0480250659209946
0.0568898318051966,0.0133594861176944,0.0634225675674036,0.0975001325855249,0.0883988840343154
0,0,0,0,0
0,0,0,0,0
0,0,0.025557411752205,0.0316789133228903,0.0229035264302013
0,0.0181014656148694,0.0586638665266859,0,0
0,0,0,0,0
0,0,0.010797110825862,0,0
0,0,0.00186606744182154,0.00668858355284575,0.0095806272005673
0.0800876658485107,0.0263939992069953,0.0809562094480309,0.0871318086785452,0.0902894908413987
0,0,0,0,0.00569031285525051
0,0,0,0.00411715584572809,0
