"China (export)","Maaden","Mosaic","OCP","PhosAgro/EuroChem"
3551,1242,4224,2007,2352
3804,2199,4248,966,2490
3540,2155,4122,1729,2518
3409,1900,4443,2218,2372
3542,1061,3916,1619,2370
4369,1827,3495,1884,3281
4404,1235,4011,2395,2770
3476,1126,3984,1616,2354
4189,1175,4416,2054,2787
3927,1393,4167,1780,2964
2688,1464,3976,2386,2428
3807,1000,3498,1820,2660
4467,916,4297,1975,1675
4737,1328,4312,2132,2913
3503,1071,4368,1680,2682
4082,1513,4984,1461,2710
3814,1375,3727,1702,2305
4091,1472,3683,2209,3469
4359,1013,4145,1936,3261
3992,1382,3963,1136,2621
3437,1414,4921,1705,3315
3877,1350,4138,2004,3241
3940,1565,4423,2026,3021
3814,916,3880,1676,2766
4445,1305,4035,2259,2516
4165,1559,4511,2249,2891
3344,1003,3934,1841,2818
3834,1781,5122,1862,2527
3442,1289,3981,1695,3204
3509,1461,4096,2741,2525
3069,1152,4607,2179,2938
3958,1162,4092,1807,2713
3866,1924,4114,1895,2005
3675,1116,4381,1964,2605
3391,1386,3976,1012,2561
4030,1567,4490,2644,2998
4009,2214,4500,1755,2447
3887,1565,3568,1993,2862
2944,1113,3727,2560,3282
3128,1461,3853,1757,2092
4304,1394,3918,970,2511
4516,1407,4228,1581,2816
3240,1327,3321,1633,2902
3676,1975,3973,2061,2369
3174,980,3779,2147,2315
3767,1393,4387,2050,3257
3603,1272,4793,1920,2691
3781,1720,4011,1694,1971
3889,1384,4318,1082,2616
3729,2168,4388,1911,2758
3415,1504,4320,1723,2673
4161,1067,4821,2559,2512
3772,1303,4102,2330,2734
3737,1570,5317,1808,2595
4345,1265,4667,2258,2903
4110,1438,4401,2066,2704
3762,664,4889,1602,2321
3681,1997,3936,2233,2487
4006,1942,4816,2546,2806
3178,657,4057,1907,2431
3425,1177,4574,2707,2392
3830,620,3902,1907,2451
2833,784,4497,936,2830
3493,1360,4155,1894,2989
3294,1437,4270,1918,2377
3567,1089,4457,904,2564
3856,390,3585,1755,1804
4073,1387,4270,1977,3686
3757,1477,4535,1842,2923
3347,919,5151,1847,3404
3753,974,3354,1845,2670
3793,658,4475,2031,2908
3555,1092,4425,1724,2490
4054,1248,4263,2036,2701
4093,1108,4161,1824,2785
4140,1473,4277,1776,2486
3551,1551,4162,1667,2706
3213,1305,4102,1794,2237
3897,1227,4254,1949,2042
3909,1197,4397,1427,2628
3342,732,3883,1436,2488
3525,1261,3046,1896,3199
3878,2014,3672,2008,2382
3907,2213,5384,1889,2959
3685,1309,4044,1734,3082
3819,928,3589,2030,2386
4340,1047,5204,1582,2567
3646,1022,4491,2518,2430
4773,1143,4408,1889,2818
3872,775,3885,1303,2710
2589,1254,3216,1535,3276
3701,1375,4285,1943,2423
3870,737,4398,1249,2401
3791,938,3428,1868,3311
3656,1012,5043,1661,2559
4270,472,4429,2060,2807
3659,648,3964,1408,2174
3765,667,4868,2430,3072
3958,475,4256,2969,2674
4119,971,4816,2254,3873
3895,1348,4470,1599,3525
3517,1332,4388,1482,3084
2997,1248,4043,1671,2836
3605,1333,3524,1994,2661
4411,1327,3681,1037,2598
3781,1775,4138,2415,2833
4680,1132,4764,1793,2408
3405,1237,4540,1913,2690
3217,1162,4362,1961,2362
3857,2004,4344,1737,2422
3494,1388,4509,1783,1711
4065,1379,4496,1826,2846
3908,1089,4129,1998,2734
3655,2055,4272,2298,2654
4027,1038,4522,2072,1944
2958,1243,4451,1700,2877
3332,1410,4236,1253,3102
4061,1728,4446,2043,2864
4116,1125,4627,2334,2646
3183,1333,4118,1924,1642
3202,958,4195,1442,2840
3805,1094,4411,2010,2368
3656,1578,4286,1819,2052
3267,2082,4367,1923,2612
3549,1066,4971,1979,2432
4300,1336,4424,1916,2731
3893,1144,4323,2081,2853
4454,1416,4264,2534,3344
4060,2110,4450,1773,2794
3334,1456,4153,1572,2412
2834,1193,4002,1761,2445
3931,1875,3911,1624,2466
3560,1166,3983,1766,3001
3502,1219,3951,980,2667
3525,1311,4679,2769,2727
4092,484,4345,1849,3129
3644,1771,4216,993,2885
3854,1043,3361,2022,2797
3672,1314,4092,1360,2187
3359,1013,3840,1967,2050
4378,1365,5073,1870,2686
3645,1378,5127,2046,2429
4189,1032,3813,2463,2366
3733,1803,4799,1982,2805
4139,1138,4296,1784,3041
3861,2058,3430,1748,2602
3477,1541,3965,2045,2823
2678,438,4514,1587,2201
4611,908,4904,1837,2716
3864,2103,4800,2368,2529
3463,830,3635,1590,2673
3720,1143,4374,1914,2827
3349,1036,4076,1838,2736
4015,1473,3923,2107,2528
4756,2110,4575,1872,2895
4950,1328,4238,2028,3251
4639,2261,4729,2996,2941
3321,1127,4316,1952,3659
3391,890,3433,960,2468
3708,1304,4215,1925,2005
3780,749,3176,1690,2222
3457,1070,4042,1890,2878
3517,1231,4037,1860,2297
4537,1183,4054,2129,2985
3286,861,4226,920,2354
3809,1016,5191,1728,2658
3220,350,3298,1942,2529
3552,976,4606,1591,2896
3383,342,3836,1646,1579
3937,692,5092,1996,2969
3875,776,4309,1858,2910
4335,1215,3874,2034,2549
3577,1703,3082,1793,2621
4220,803,4560,1803,2610
4390,1209,3913,1927,2538
3819,1545,4001,1509,2870
3612,864,4060,1908,3444
3642,941,4026,1600,2331
2879,1285,3990,2394,2852
3350,1888,3976,1662,2482
3769,1473,5013,1908,2613
3984,1305,4478,1558,2618
3615,1376,3762,1818,2520
3917,1394,4418,2028,2813
2924,1268,4531,2200,2578
3635,1670,3571,2166,2177
3988,1520,3665,1881,2712
3403,2012,3676,1016,1727
3582,349,3111,2007,2483
3511,254,4276,1918,2378
3341,1124,3717,1963,3011
3392,1049,3552,1754,2387
3156,1086,4344,1758,2800
3308,1163,3412,1985,2537
3394,1302,3989,1998,2429
3783,1098,4427,1733,2640
4300,1588,4352,1637,2523
2683,1205,4356,2381,2422
3912,935,4470,999,1841
4960,1492,4306,1963,2181
3316,1236,3489,2024,2495
3467,1631,3250,1929,2546
3467,1426,3975,2677,2213
4231,1552,3990,1834,2546
4251,1266,4327,1989,2784
3857,1287,4681,2399,2286
2691,1302,4087,2114,2523
3693,1865,4044,1858,3017
3225,1797,4653,1771,2347
3978,1915,4466,2096,2918
4995,2327,4737,1843,2696
3852,1053,4455,2042,2526
3892,1094,4286,1610,2532
3552,1032,3935,1902,2272
3474,933,4197,1614,3015
3932,904,3947,1950,2573
4552,1399,3725,1717,2745
3257,969,3859,1524,3120
2611,1263,3539,1651,1953
4284,2044,4156,1541,2589
3895,1140,4292,2988,3274
3778,1062,5081,1660,2418
3828,1226,4445,1786,2126
4335,1162,4856,2340,2216
4528,1116,4163,1963,2753
