"Scenario","China (export)","Maaden","Mosaic","OCP","PhosAgro/EuroChem"
"Business As Usual",3754,1153,4355,1842,3435
"Business As Usual",3571,1163,4961,1816,2840
"Business As Usual",3429,742,4432,1924,1813
"Business As Usual",3859,1599,4112,1648,2758
"Business As Usual",3590,1127,4125,1684,3451
"Business As Usual",3392,1038,3833,1964,2302
"Business As Usual",3711,1373,4055,1962,2631
"Business As Usual",3977,1456,4135,1107,2801
"Business As Usual",3608,1002,3963,2007,1890
"Business As Usual",3578,1356,4268,1744,2754
"Business As Usual",3574,1031,3707,1697,2415
"Business As Usual",3875,933,4026,926,2522
"Business As Usual",3388,727,4026,1631,2615
"Business As Usual",3937,1422,3851,2028,2757
"Business As Usual",3376,2054,4036,1799,2464
"Business As Usual",3567,1679,3802,2081,2449
"Business As Usual",3713,1055,4141,2531,2566
"Business As Usual",3927,1504,4444,1876,2211
"Business As Usual",4276,422,3818,1202,2357
"Business As Usual",3835,1048,3642,2374,2841
"Business As Usual",2706,2037,4121,1970,3155
"Business As Usual",3426,1386,4299,1901,2384
"Business As Usual",3325,1404,4651,1592,2647
"Business As Usual",4042,2096,4186,2870,2885
"Business As Usual",4011,888,4492,1935,3335
"Business As Usual",3534,1904,3634,1816,2949
"Business As Usual",4693,667,4618,1330,2802
"Business As Usual",3656,1026,4381,1616,2882
"Business As Usual",3774,359,4101,2598,2779
"Business As Usual",4270,265,4333,1718,2395
"Business As Usual",4150,1261,4210,2319,2893
"Business As Usual",3847,1449,4480,2147,3095
"Business As Usual",3753,1599,4261,2061,2662
"Business As Usual",3696,1468,4150,1684,2655
"Business As Usual",3668,812,3176,1741,2792
"Business As Usual",2653,1290,3812,2354,2749
"Business As Usual",4406,1087,4216,2676,2810
"Business As Usual",3612,1125,4297,1959,2476
"Business As Usual",4154,712,4891,2494,3148
"Business As Usual",3862,1078,4006,2845,2843
"Business As Usual",4923,1093,3944,1488,3785
"Business As Usual",4215,947,4146,2003,2807
"Business As Usual",3719,1191,4187,1646,2537
"Business As Usual",3491,1150,4522,1961,2450
"Business As Usual",3653,848,4132,1818,2253
"Business As Usual",4347,930,4102,1937,2520
"Business As Usual",4007,1290,3677,1753,3054
"Business As Usual",3601,1114,4367,1880,2778
"Business As Usual",3713,1323,4033,1368,2693
"Business As Usual",4241,1386,4305,1711,2374
"Business As Usual",3327,957,3310,2489,2808
"Business As Usual",2940,1074,4141,1748,2515
"Business As Usual",3231,1632,4433,1628,2553
"Business As Usual",4063,1513,4524,1826,2697
"Business As Usual",2941,1255,3845,949,2378
"Business As Usual",3964,659,4386,1339,2133
"Business As Usual",4515,1174,3959,1759,3292
"Business As Usual",3677,1554,4753,1887,3667
"Business As Usual",3440,680,3935,1788,1939
"Business As Usual",3671,938,4317,1963,2181
"Business As Usual",3368,1034,3135,1514,3101
"Business As Usual",4268,1419,5068,2084,3102
"Business As Usual",3114,1074,3853,1788,2496
"Business As Usual",3827,1028,4444,2081,2620
"Business As Usual",3361,822,3903,1699,2648
"Business As Usual",4051,1129,5337,1584,2675
"Business As Usual",2981,1023,4008,2412,2944
"Business As Usual",4050,972,4591,1492,2666
"Business As Usual",3613,1206,3613,1647,2599
"Business As Usual",3546,978,3365,1946,2634
"Business As Usual",3525,1209,3211,877,2422
"Business As Usual",3528,1296,3974,1741,2617
"Business As Usual",3868,1304,3333,1320,2478
"Business As Usual",3738,1577,4511,1979,2886
"Business As Usual",3734,908,4988,1854,1988
"Business As Usual",3805,1361,4181,1529,2221
"Business As Usual",3551,1242,4224,2007,2352
"Business As Usual",3804,2199,4248,966,2490
"Business As Usual",3540,2155,4122,1729,2518
"Business As Usual",3409,1900,4443,2218,2372
"Business As Usual",3542,1061,3916,1619,2370
"Business As Usual",4369,1827,3495,1884,3281
"Business As Usual",4404,1235,4011,2395,2770
"Business As Usual",3476,1126,3984,1616,2354
"Business As Usual",4189,1175,4416,2054,2787
"Business As Usual",3927,1393,4167,1780,2964
"Business As Usual",2688,1464,3976,2386,2428
"Business As Usual",3807,1000,3498,1820,2660
"Business As Usual",4467,916,4297,1975,1675
"Business As Usual",4737,1328,4312,2132,2913
"Business As Usual",3503,1071,4368,1680,2682
"Business As Usual",4082,1513,4984,1461,2710
"Business As Usual",3814,1375,3727,1702,2305
"Business As Usual",4091,1472,3683,2209,3469
