Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QC","Crops","2","Afghanistan","5510","Production","221","Almonds, with shell","2013","2013","tonnes","42215","","Official data",""
"QC","Crops","2","Afghanistan","5510","Production","711","Anise, badian, fennel, coriander","2013","2013","tonnes","12500","F","FAO estimate",""
"QC","Crops","2","Afghanistan","5510","Production","515","Apples","2013","2013","tonnes","78597","","Official data",""
"QC","Crops","2","Afghanistan","5510","Production","526","Apricots","2013","2013","tonnes","90000","","Official data",""
"QC","Crops","2","Afghanistan","5510","Production","44","Barley","2013","2013","tonnes","514000","","Official data",""
"QC","Crops","2","Afghanistan","5510","Production","558","Berries nes","2013","2013","tonnes","25000","F","FAO estimate",""
"QC","Crops","2","Afghanistan","5510","Production","569","Figs","2013","2013","tonnes","8300","F","FAO estimate",""
"QC","Crops","2","Afghanistan","5510","Production","512","Fruit, citrus nes","2013","2013","tonnes","3000","F","FAO estimate",""
"QC","Crops","2","Afghanistan","5510","Production","619","Fruit, fresh nes","2013","2013","tonnes","63292","","Official data",""
"QC","Crops","2","Afghanistan","5510","Production","541","Fruit, stone nes","2013","2013","tonnes","46100","F","FAO estimate",""
"QC","Crops","2","Afghanistan","5510","Production","560","Grapes","2013","2013","tonnes","610570","","Official data",""
"QC","Crops","2","Afghanistan","5510","Production","333","Linseed","2013","2013","tonnes","2500","F","FAO estimate",""
"QC","Crops","2","Afghanistan","5510","Production","56","Maize","2013","2013","tonnes","312000","","Official data",""
"QC","Crops","2","Afghanistan","5510","Production","568","Melons, other (inc.cantaloupes)","2013","2013","tonnes","180070","","Official data",""
"QC","Crops","2","Afghanistan","5510","Production","79","Millet","2013","2013","tonnes","13000","*","Unofficial figure",""
"QC","Crops","2","Afghanistan","5510","Production","234","Nuts nes","2013","2013","tonnes","1141","Im","FAO data based on imputation methodology",""
"QC","Crops","2","Afghanistan","5510","Production","260","Olives","2013","2013","tonnes","6685","Im","FAO data based on imputation methodology",""
"QC","Crops","2","Afghanistan","5510","Production","403","Onions, dry","2013","2013","tonnes","230267","Im","FAO data based on imputation methodology",""
