Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QC","Crops","2","Afghanistan","5510","Production","221","Almonds, with shell","2010","2010","tonnes","56000","","Official data",""
"QC","Crops","2","Afghanistan","5510","Production","711","Anise, badian, fennel, coriander","2010","2010","tonnes","10200","F","FAO estimate",""
"QC","Crops","2","Afghanistan","5510","Production","515","Apples","2010","2010","tonnes","59850","","Official data",""
"QC","Crops","2","Afghanistan","5510","Production","526","Apricots","2010","2010","tonnes","66560","","Official data",""
"QC","Crops","2","Afghanistan","5510","Production","44","Barley","2010","2010","tonnes","437000","","Official data",""
"QC","Crops","2","Afghanistan","5510","Production","558","Berries nes","2010","2010","tonnes","29765","Im","FAO data based on imputation methodology",""
"QC","Crops","2","Afghanistan","5510","Production","569","Figs","2010","2010","tonnes","8658","","Official data",""
"QC","Crops","2","Afghanistan","5510","Production","512","Fruit, citrus nes","2010","2010","tonnes","2000","F","FAO estimate",""
"QC","Crops","2","Afghanistan","5510","Production","619","Fruit, fresh nes","2010","2010","tonnes","100956","","Official data",""
"QC","Crops","2","Afghanistan","5510","Production","541","Fruit, stone nes","2010","2010","tonnes","45000","F","FAO estimate",""
"QC","Crops","2","Afghanistan","5510","Production","560","Grapes","2010","2010","tonnes","397000","*","Unofficial figure",""
"QC","Crops","2","Afghanistan","5510","Production","333","Linseed","2010","2010","tonnes","1200","F","FAO estimate",""
"QC","Crops","2","Afghanistan","5510","Production","56","Maize","2010","2010","tonnes","301000","","Official data",""
"QC","Crops","2","Afghanistan","5510","Production","568","Melons, other (inc.cantaloupes)","2010","2010","tonnes","350000","F","FAO estimate",""
"QC","Crops","2","Afghanistan","5510","Production","79","Millet","2010","2010","tonnes","15000","","Official data",""
"QC","Crops","2","Afghanistan","5510","Production","234","Nuts nes","2010","2010","tonnes","1003","Im","FAO data based on imputation methodology",""
"QC","Crops","2","Afghanistan","5510","Production","260","Olives","2010","2010","tonnes","7300","","Official data",""
"QC","Crops","2","Afghanistan","5510","Production","403","Onions, dry","2010","2010","tonnes","309763","Im","FAO data based on imputation methodology",""
"QC","Crops","2","Afghanistan","5510","Production","490","Oranges","2010","2010","tonnes","2000","","Official data",""
"QC","Crops","2","Afghanistan","5510","Production","534","Peaches and nectarines","2010","2010","tonnes","13400","","Official data",""
"QC","Crops","2","Afghanistan","5510","Production","521","Pears","2010","2010","tonnes","2419","Im","FAO data based on imputation methodology",""
"QC","Crops","2","Afghanistan","5510","Production","223","Pistachios","2010","2010","tonnes","2560","Im","FAO data based on imputation methodology",""
"QC","Crops","2","Afghanistan","5510","Production","536","Plums and sloes","2010","2010","tonnes","31082","Im","FAO data based on imputation methodology",""
"QC","Crops","2","Afghanistan","5510","Production","116","Potatoes","2010","2010","tonnes","246000","","Official data",""
"QC","Crops","2","Afghanistan","5510","Production","211","Pulses nes","2010","2010","tonnes","53300","F","FAO estimate",""
"QC","Crops","2","Afghanistan","5510","Production","27","Rice, paddy","2010","2010","tonnes","672000","","Official data",""
"QC","Crops","2","Afghanistan","5510","Production","328","Seed cotton","2010","2010","tonnes","33000","","Official data",""
"QC","Crops","2","Afghanistan","5510","Production","289","Sesame seed","2010","2010","tonnes","32000","*","Unofficial figure",""
"QC","Crops","2","Afghanistan","5510","Production","723","Spices nes","2010","2010","tonnes","4","Im","FAO data based on imputation methodology",""
"QC","Crops","2","Afghanistan","5510","Production","157","Sugar beet","2010","2010","tonnes","15200","","Official data",""
"QC","Crops","2","Afghanistan","5510","Production","156","Sugar cane","2010","2010","tonnes","92400","","Official data",""
"QC","Crops","2","Afghanistan","5510","Production","267","Sunflower seed","2010","2010","tonnes","245","F","FAO estimate",""
"QC","Crops","2","Afghanistan","5510","Production","463","Vegetables, fresh nes","2010","2010","tonnes","660000","F","FAO estimate",""
"QC","Crops","2","Afghanistan","5510","Production","222","Walnuts, with shell","2010","2010","tonnes","11900","","Official data",""
"QC","Crops","2","Afghanistan","5510","Production","567","Watermelons","2010","2010","tonnes","251420","","Official data",""
"QC","Crops","2","Afghanistan","5510","Production","15","Wheat","2010","2010","tonnes","4532000","","Official data",""
"QC","Crops","3","Albania","5510","Production","515","Apples","2010","2010","tonnes","54604","","Official data",""
"QC","Crops","3","Albania","5510","Production","526","Apricots","2010","2010","tonnes","3471","","Official data",""
"QC","Crops","3","Albania","5510","Production","44","Barley","2010","2010","tonnes","7300","","Official data",""
"QC","Crops","3","Albania","5510","Production","176","Beans, dry","2010","2010","tonnes","24000","","Official data",""
"QC","Crops","3","Albania","5510","Production","414","Beans, green","2010","2010","tonnes","9307","","Official data",""
"QC","Crops","3","Albania","5510","Production","181","Broad beans, horse beans, dry","2010","2010","tonnes","200","F","FAO estimate",""
"QC","Crops","3","Albania","5510","Production","358","Cabbages and other brassicas","2010","2010","tonnes","35832","","Official data",""
"QC","Crops","3","Albania","5510","Production","426","Carrots and turnips","2010","2010","tonnes","6303","","Official data",""
