Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QC","Crops","2","Afghanistan","5510","Production","221","Almonds, with shell","2016","2016","tonnes","32843","","Official data",""
"QC","Crops","2","Afghanistan","5510","Production","711","Anise, badian, fennel, coriander","2016","2016","tonnes","18040","Im","FAO data based on imputation methodology",""
"QC","Crops","2","Afghanistan","5510","Production","515","Apples","2016","2016","tonnes","140903","","Official data",""
"QC","Crops","2","Afghanistan","5510","Production","526","Apricots","2016","2016","tonnes","17894","","Official data",""
"QC","Crops","2","Afghanistan","5510","Production","44","Barley","2016","2016","tonnes","301856","","Official data",""
"QC","Crops","2","Afghanistan","5510","Production","558","Berries nes","2016","2016","tonnes","24031","Im","FAO data based on imputation methodology",""
"QC","Crops","2","Afghanistan","5510","Production","569","Figs","2016","2016","tonnes","3143","","Official data",""
"QC","Crops","2","Afghanistan","5510","Production","512","Fruit, citrus nes","2016","2016","tonnes","18185","Im","FAO data based on imputation methodology",""
"QC","Crops","2","Afghanistan","5510","Production","619","Fruit, fresh nes","2016","2016","tonnes","70083","Im","FAO data based on imputation methodology",""
"QC","Crops","2","Afghanistan","5510","Production","541","Fruit, stone nes","2016","2016","tonnes","50210","Im","FAO data based on imputation methodology",""
"QC","Crops","2","Afghanistan","5510","Production","560","Grapes","2016","2016","tonnes","874541","","Official data",""
"QC","Crops","2","Afghanistan","5510","Production","333","Linseed","2016","2016","tonnes","219","","Official data",""
"QC","Crops","2","Afghanistan","5510","Production","56","Maize","2016","2016","tonnes","311646","","Official data",""
"QC","Crops","2","Afghanistan","5510","Production","568","Melons, other (inc.cantaloupes)","2016","2016","tonnes","506266","","Official data",""
"QC","Crops","2","Afghanistan","5510","Production","79","Millet","2016","2016","tonnes","12138","Im","FAO data based on imputation methodology",""
"QC","Crops","2","Afghanistan","5510","Production","234","Nuts nes","2016","2016","tonnes","1365","Im","FAO data based on imputation methodology",""
"QC","Crops","2","Afghanistan","5510","Production","260","Olives","2016","2016","tonnes","7657","Im","FAO data based on imputation methodology",""
"QC","Crops","2","Afghanistan","5510","Production","403","Onions, dry","2016","2016","tonnes","141649","","Official data",""
"QC","Crops","2","Afghanistan","5510","Production","490","Oranges","2016","2016","tonnes","4055","Im","FAO data based on imputation methodology",""
"QC","Crops","2","Afghanistan","5510","Production","534","Peaches and nectarines","2016","2016","tonnes","15306","","Official data",""
"QC","Crops","2","Afghanistan","5510","Production","521","Pears","2016","2016","tonnes","5226","","Official data",""
"QC","Crops","2","Afghanistan","5510","Production","223","Pistachios","2016","2016","tonnes","2718","Im","FAO data based on imputation methodology",""
"QC","Crops","2","Afghanistan","5510","Production","536","Plums and sloes","2016","2016","tonnes","18504","","Official data",""
"QC","Crops","2","Afghanistan","5510","Production","116","Potatoes","2016","2016","tonnes","427917","","Official data",""
"QC","Crops","2","Afghanistan","5510","Production","211","Pulses nes","2016","2016","tonnes","80917","Im","FAO data based on imputation methodology",""
"QC","Crops","2","Afghanistan","5510","Production","27","Rice, paddy","2016","2016","tonnes","356565","","Official data",""
